<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXN21;1;20190103;134300;98.7100000;98.7100000;98.7100000;98.7100000;1
RU000A0JXN21;1;20190103;163800;98.6900000;98.6900000;98.6900000;98.6900000;8
RU000A0JXN21;1;20190103;183700;98.3100000;98.3100000;98.3100000;98.3100000;101
RU000A0JXN21;1;20190104;133300;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190104;134400;98.4900000;98.7900000;98.4900000;98.7900000;250
RU000A0JXN21;1;20190108;133700;97.6000000;97.6000000;97.6000000;97.6000000;25
RU000A0JXN21;1;20190108;133900;98.0000000;98.0000000;98.0000000;98.0000000;10
RU000A0JXN21;1;20190108;142100;98.4000000;98.5000000;98.4000000;98.5000000;20
RU000A0JXN21;1;20190108;144400;98.4800000;98.4800000;98.4800000;98.4800000;1
RU000A0JXN21;1;20190108;144600;98.4800000;98.4800000;98.4800000;98.4800000;2
RU000A0JXN21;1;20190108;181500;98.3900000;98.3900000;98.3900000;98.3900000;10
RU000A0JXN21;1;20190109;105100;98.3800000;98.3800000;98.3800000;98.3800000;40
RU000A0JXN21;1;20190109;112000;98.3500000;98.6000000;98.3500000;98.6000000;100
RU000A0JXN21;1;20190109;120200;98.3600000;98.3600000;98.3600000;98.3600000;1
RU000A0JXN21;1;20190109;121200;98.4900000;98.5000000;98.4900000;98.5000000;30
RU000A0JXN21;1;20190109;124300;98.4500000;98.4500000;98.4500000;98.4500000;54
RU000A0JXN21;1;20190109;130900;98.4500000;98.4500000;98.4500000;98.4500000;44
RU000A0JXN21;1;20190109;131100;98.3900000;98.3900000;98.3900000;98.3900000;4
RU000A0JXN21;1;20190109;131200;98.3900000;98.3900000;98.3900000;98.3900000;46
RU000A0JXN21;1;20190109;131900;98.3700000;98.3700000;98.3700000;98.3700000;5
RU000A0JXN21;1;20190109;152300;98.4900000;98.4900000;98.4900000;98.4900000;100
RU000A0JXN21;1;20190109;164800;98.3500000;98.3500000;98.3500000;98.3500000;385
RU000A0JXN21;1;20190110;101600;98.7000000;98.7000000;98.7000000;98.7000000;1
RU000A0JXN21;1;20190110;101800;97.7500000;98.7000000;97.7500000;98.7000000;2
RU000A0JXN21;1;20190110;102000;98.6900000;98.6900000;98.6900000;98.6900000;1
RU000A0JXN21;1;20190110;115900;98.3800000;98.3800000;98.3800000;98.3800000;10
RU000A0JXN21;1;20190110;121600;98.3800000;98.3800000;98.3800000;98.3800000;61
RU000A0JXN21;1;20190110;123000;98.3700000;98.3700000;98.3700000;98.3700000;20
RU000A0JXN21;1;20190110;134100;98.3700000;98.3700000;98.3700000;98.3700000;5
RU000A0JXN21;1;20190110;135900;98.3700000;98.3700000;98.3700000;98.3700000;1
RU000A0JXN21;1;20190110;161200;98.3500000;98.3500000;98.3500000;98.3500000;55
RU000A0JXN21;1;20190110;165300;98.3100000;98.3100000;98.3100000;98.3100000;48
RU000A0JXN21;1;20190110;165800;98.3100000;98.3100000;98.3100000;98.3100000;70
RU000A0JXN21;1;20190110;180500;98.3500000;98.3500000;98.3500000;98.3500000;68
RU000A0JXN21;1;20190110;181100;98.3700000;98.3700000;98.3700000;98.3700000;64
RU000A0JXN21;1;20190110;181300;98.3900000;98.3900000;98.3900000;98.3900000;50
RU000A0JXN21;1;20190111;110600;98.3300000;98.3300000;98.3300000;98.3300000;3
RU000A0JXN21;1;20190111;111500;98.3200000;98.3200000;98.3200000;98.3200000;3
RU000A0JXN21;1;20190111;111800;98.3300000;98.3300000;98.3300000;98.3300000;2
RU000A0JXN21;1;20190111;113300;98.3300000;98.3300000;98.3300000;98.3300000;5
RU000A0JXN21;1;20190111;122900;98.4400000;98.4400000;98.4400000;98.4400000;1
RU000A0JXN21;1;20190111;123200;98.4400000;98.4500000;98.4400000;98.4500000;9
RU000A0JXN21;1;20190111;123900;98.4500000;98.4600000;98.4500000;98.4600000;102
RU000A0JXN21;1;20190111;124100;98.4700000;98.4700000;98.4700000;98.4700000;2
RU000A0JXN21;1;20190111;144700;98.4700000;98.4700000;98.4700000;98.4700000;500
RU000A0JXN21;1;20190111;145800;98.4700000;98.4700000;98.4700000;98.4700000;33
RU000A0JXN21;1;20190111;163900;98.5400000;98.5500000;98.5400000;98.5500000;12
RU000A0JXN21;1;20190111;165700;98.6700000;98.7000000;98.6700000;98.7000000;2220
RU000A0JXN21;1;20190111;175300;98.6500000;98.6500000;98.6500000;98.6500000;4
RU000A0JXN21;1;20190114;103400;98.0200000;98.0200000;98.0100000;98.0100000;31
RU000A0JXN21;1;20190114;112000;98.5900000;98.5900000;98.5900000;98.5900000;3
RU000A0JXN21;1;20190114;112300;98.6000000;98.6000000;98.6000000;98.6000000;25
RU000A0JXN21;1;20190114;112900;98.6000000;98.6000000;98.6000000;98.6000000;3
RU000A0JXN21;1;20190114;113200;98.5900000;98.5900000;98.5900000;98.5900000;3
RU000A0JXN21;1;20190114;113400;98.6000000;98.6000000;98.6000000;98.6000000;3
RU000A0JXN21;1;20190114;115100;98.5900000;98.5900000;98.5900000;98.5900000;3
RU000A0JXN21;1;20190114;120800;98.6000000;98.6000000;98.6000000;98.6000000;69
RU000A0JXN21;1;20190114;124400;98.6200000;98.6200000;98.6200000;98.6200000;1
RU000A0JXN21;1;20190114;131300;98.6200000;98.6200000;98.6200000;98.6200000;1
RU000A0JXN21;1;20190114;131400;98.6200000;98.6600000;98.6200000;98.6600000;22
RU000A0JXN21;1;20190114;132500;98.7000000;98.7000000;98.7000000;98.7000000;10
RU000A0JXN21;1;20190114;135800;98.6600000;98.6600000;98.6500000;98.6500000;88
RU000A0JXN21;1;20190114;153800;98.6700000;98.6700000;98.6700000;98.6700000;1
RU000A0JXN21;1;20190114;165500;98.6700000;98.6700000;98.6700000;98.6700000;2
RU000A0JXN21;1;20190114;172600;98.6700000;98.6700000;98.6700000;98.6700000;30
RU000A0JXN21;1;20190114;183800;98.6800000;98.6800000;98.6800000;98.6800000;15
RU000A0JXN21;1;20190115;115200;98.5100000;98.5100000;98.5000000;98.5000000;61
RU000A0JXN21;1;20190115;125500;98.5000000;98.5000000;98.5000000;98.5000000;3407
RU000A0JXN21;1;20190115;125700;98.4900000;98.4900000;98.4900000;98.4900000;3
RU000A0JXN21;1;20190115;130600;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JXN21;1;20190115;130700;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JXN21;1;20190115;131300;98.5000000;98.5000000;98.5000000;98.5000000;1
