<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0JXN21;0;20190103;134328;98.710000000;1
RU000A0JXN21;0;20190103;163820;98.690000000;8
RU000A0JXN21;0;20190103;183731;98.310000000;1
RU000A0JXN21;0;20190103;183731;98.310000000;100
RU000A0JXN21;0;20190104;133306;98.490000000;3
RU000A0JXN21;0;20190104;134432;98.490000000;147
RU000A0JXN21;0;20190104;134432;98.500000000;100
RU000A0JXN21;0;20190104;134432;98.790000000;3
RU000A0JXN21;0;20190108;133700;97.600000000;5
RU000A0JXN21;0;20190108;133749;97.600000000;10
RU000A0JXN21;0;20190108;133755;97.600000000;10
RU000A0JXN21;0;20190108;133912;98.000000000;10
RU000A0JXN21;0;20190108;142113;98.400000000;10
RU000A0JXN21;0;20190108;142113;98.500000000;10
RU000A0JXN21;0;20190108;144433;98.480000000;1
RU000A0JXN21;0;20190108;144612;98.480000000;2
RU000A0JXN21;0;20190108;181516;98.390000000;10
RU000A0JXN21;0;20190109;105152;98.380000000;40
RU000A0JXN21;0;20190109;112000;98.350000000;10
RU000A0JXN21;0;20190109;112000;98.390000000;40
RU000A0JXN21;0;20190109;112000;98.400000000;40
RU000A0JXN21;0;20190109;112000;98.600000000;10
RU000A0JXN21;0;20190109;120206;98.360000000;1
RU000A0JXN21;0;20190109;121207;98.490000000;1
RU000A0JXN21;0;20190109;121207;98.500000000;29
RU000A0JXN21;0;20190109;124300;98.450000000;54
RU000A0JXN21;0;20190109;130910;98.450000000;44
RU000A0JXN21;0;20190109;131128;98.390000000;4
RU000A0JXN21;0;20190109;131217;98.390000000;46
RU000A0JXN21;0;20190109;131959;98.370000000;5
RU000A0JXN21;0;20190109;152305;98.490000000;100
RU000A0JXN21;0;20190109;164815;98.350000000;385
RU000A0JXN21;0;20190110;101603;98.700000000;1
RU000A0JXN21;0;20190110;101853;97.750000000;1
RU000A0JXN21;0;20190110;101853;98.700000000;1
RU000A0JXN21;0;20190110;102004;98.690000000;1
RU000A0JXN21;0;20190110;115952;98.380000000;2
RU000A0JXN21;0;20190110;115952;98.380000000;8
RU000A0JXN21;0;20190110;121634;98.380000000;61
RU000A0JXN21;0;20190110;123001;98.370000000;20
RU000A0JXN21;0;20190110;134147;98.370000000;5
RU000A0JXN21;0;20190110;135945;98.370000000;1
RU000A0JXN21;0;20190110;161227;98.350000000;55
RU000A0JXN21;0;20190110;165318;98.310000000;48
RU000A0JXN21;0;20190110;165808;98.310000000;70
RU000A0JXN21;0;20190110;180547;98.350000000;68
RU000A0JXN21;0;20190110;181146;98.370000000;64
RU000A0JXN21;0;20190110;181305;98.390000000;50
RU000A0JXN21;0;20190111;110604;98.330000000;3
RU000A0JXN21;0;20190111;111516;98.320000000;3
RU000A0JXN21;0;20190111;111849;98.330000000;2
RU000A0JXN21;0;20190111;113345;98.330000000;5
RU000A0JXN21;0;20190111;122915;98.440000000;1
RU000A0JXN21;0;20190111;123259;98.440000000;1
RU000A0JXN21;0;20190111;123259;98.450000000;8
RU000A0JXN21;0;20190111;123905;98.450000000;2
RU000A0JXN21;0;20190111;123905;98.460000000;100
RU000A0JXN21;0;20190111;124158;98.470000000;2
RU000A0JXN21;0;20190111;144754;98.470000000;500
RU000A0JXN21;0;20190111;145802;98.470000000;33
RU000A0JXN21;0;20190111;163929;98.540000000;2
RU000A0JXN21;0;20190111;163929;98.550000000;10
RU000A0JXN21;0;20190111;165751;98.670000000;384
RU000A0JXN21;0;20190111;165751;98.690000000;19
RU000A0JXN21;0;20190111;165751;98.700000000;1000
RU000A0JXN21;0;20190111;165751;98.700000000;817
RU000A0JXN21;0;20190111;175315;98.650000000;4
RU000A0JXN21;0;20190114;103410;98.020000000;3
RU000A0JXN21;0;20190114;103410;98.010000000;28
RU000A0JXN21;0;20190114;112017;98.590000000;3
RU000A0JXN21;0;20190114;112333;98.600000000;25
RU000A0JXN21;0;20190114;112959;98.600000000;3
RU000A0JXN21;0;20190114;113245;98.590000000;3
RU000A0JXN21;0;20190114;113402;98.600000000;3
RU000A0JXN21;0;20190114;115114;98.590000000;3
RU000A0JXN21;0;20190114;120826;98.600000000;11
RU000A0JXN21;0;20190114;120830;98.600000000;3
RU000A0JXN21;0;20190114;120858;98.600000000;55
RU000A0JXN21;0;20190114;124417;98.620000000;1
RU000A0JXN21;0;20190114;131340;98.620000000;1
RU000A0JXN21;0;20190114;131424;98.620000000;1
RU000A0JXN21;0;20190114;131424;98.630000000;10
RU000A0JXN21;0;20190114;131424;98.650000000;5
RU000A0JXN21;0;20190114;131424;98.650000000;5
RU000A0JXN21;0;20190114;131424;98.660000000;1
RU000A0JXN21;0;20190114;132504;98.700000000;10
RU000A0JXN21;0;20190114;135848;98.660000000;3
RU000A0JXN21;0;20190114;135848;98.650000000;85
RU000A0JXN21;0;20190114;153835;98.670000000;1
RU000A0JXN21;0;20190114;165529;98.670000000;2
RU000A0JXN21;0;20190114;172626;98.670000000;30
RU000A0JXN21;0;20190114;183827;98.680000000;15
RU000A0JXN21;0;20190115;115232;98.510000000;3
RU000A0JXN21;0;20190115;115232;98.500000000;58
RU000A0JXN21;0;20190115;125514;98.500000000;3407
RU000A0JXN21;0;20190115;125705;98.490000000;3
RU000A0JXN21;0;20190115;130652;98.500000000;1
RU000A0JXN21;0;20190115;130730;98.500000000;1
RU000A0JXN21;0;20190115;131306;98.500000000;1
RU000A0JXN21;0;20190115;132127;98.500000000;1
RU000A0JXN21;0;20190115;133521;98.500000000;24
RU000A0JXN21;0;20190115;134311;98.500000000;17
RU000A0JXN21;0;20190115;135213;98.500000000;10
RU000A0JXN21;0;20190115;135345;98.500000000;9
RU000A0JXN21;0;20190115;141734;98.500000000;300
RU000A0JXN21;0;20190115;143724;98.500000000;100
RU000A0JXN21;0;20190115;150724;98.500000000;317
RU000A0JXN21;0;20190115;150854;98.500000000;1218
RU000A0JXN21;0;20190115;153727;98.420000000;50
RU000A0JXN21;0;20190115;164729;98.500000000;50
RU000A0JXN21;0;20190115;182106;98.500000000;14
RU000A0JXN21;0;20190115;182247;98.500000000;10
