<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXQ93;1;20190103;111300;104.3400000;104.3500000;104.3400000;104.3500000;90
RU000A0JXQ93;1;20190103;111600;104.3500000;104.3500000;104.3500000;104.3500000;1
RU000A0JXQ93;1;20190103;115200;104.3400000;104.3400000;104.3400000;104.3400000;2
RU000A0JXQ93;1;20190103;121800;104.3100000;104.3100000;104.3000000;104.3000000;27
RU000A0JXQ93;1;20190103;122200;104.3300000;104.3500000;104.3300000;104.3500000;50
RU000A0JXQ93;1;20190103;125500;104.3500000;104.3500000;104.3500000;104.3500000;1
RU000A0JXQ93;1;20190103;133200;104.3000000;104.3000000;104.3000000;104.3000000;72
RU000A0JXQ93;1;20190103;133900;104.3000000;104.3000000;104.3000000;104.3000000;2
RU000A0JXQ93;1;20190103;134600;104.3000000;104.3000000;104.3000000;104.3000000;1
RU000A0JXQ93;1;20190103;144400;103.9000000;103.9000000;103.9000000;103.9000000;1
RU000A0JXQ93;1;20190103;152100;103.9000000;103.9000000;103.9000000;103.9000000;1
RU000A0JXQ93;1;20190103;152300;104.3000000;104.3000000;104.3000000;104.3000000;6
RU000A0JXQ93;1;20190103;153000;104.3000000;104.3000000;104.3000000;104.3000000;352
RU000A0JXQ93;1;20190103;162600;104.3500000;104.3500000;104.3500000;104.3500000;13
RU000A0JXQ93;1;20190103;165800;104.3500000;104.3500000;104.3500000;104.3500000;10
RU000A0JXQ93;1;20190103;174000;104.3500000;104.3500000;104.3500000;104.3500000;1
RU000A0JXQ93;1;20190103;180200;104.3500000;104.3500000;104.3500000;104.3500000;35
RU000A0JXQ93;1;20190103;181200;103.9300000;103.9300000;103.9200000;103.9200000;52
RU000A0JXQ93;1;20190103;184300;104.3400000;104.3400000;104.3400000;104.3400000;1
RU000A0JXQ93;1;20190104;112500;104.2900000;104.3000000;104.2900000;104.3000000;73
RU000A0JXQ93;1;20190104;115700;104.3000000;104.3000000;104.3000000;104.3000000;7
RU000A0JXQ93;1;20190104;120700;104.3000000;104.3000000;104.3000000;104.3000000;2
RU000A0JXQ93;1;20190104;122800;104.3000000;104.3000000;104.3000000;104.3000000;15
RU000A0JXQ93;1;20190104;142100;104.3000000;104.3000000;104.3000000;104.3000000;10
RU000A0JXQ93;1;20190104;143400;104.3000000;104.3000000;104.3000000;104.3000000;10
RU000A0JXQ93;1;20190104;144400;103.5500000;103.5500000;103.5500000;103.5500000;10
RU000A0JXQ93;1;20190104;151100;104.2900000;104.2900000;104.2900000;104.2900000;1
RU000A0JXQ93;1;20190104;151800;104.2900000;104.2900000;104.2900000;104.2900000;32
RU000A0JXQ93;1;20190104;155700;104.2900000;104.2900000;104.2900000;104.2900000;20
RU000A0JXQ93;1;20190104;163700;104.2900000;104.2900000;104.2900000;104.2900000;15
RU000A0JXQ93;1;20190104;172600;104.2900000;104.3000000;104.2900000;104.3000000;52
RU000A0JXQ93;1;20190104;173400;104.3000000;104.3000000;104.3000000;104.3000000;45
