<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0JXQ93;0;20190103;111246;104.340000000;30
RU000A0JXQ93;0;20190103;111246;104.350000000;60
RU000A0JXQ93;0;20190103;111525;104.350000000;1
RU000A0JXQ93;0;20190103;115135;104.340000000;2
RU000A0JXQ93;0;20190103;121710;104.310000000;12
RU000A0JXQ93;0;20190103;121719;104.300000000;15
RU000A0JXQ93;0;20190103;122140;104.330000000;12
RU000A0JXQ93;0;20190103;122140;104.340000000;5
RU000A0JXQ93;0;20190103;122140;104.340000000;20
RU000A0JXQ93;0;20190103;122140;104.350000000;13
RU000A0JXQ93;0;20190103;125441;104.350000000;1
RU000A0JXQ93;0;20190103;133140;104.300000000;72
RU000A0JXQ93;0;20190103;133857;104.300000000;2
RU000A0JXQ93;0;20190103;134556;104.300000000;1
RU000A0JXQ93;0;20190103;144350;103.900000000;1
RU000A0JXQ93;0;20190103;152032;103.900000000;1
RU000A0JXQ93;0;20190103;152255;104.300000000;6
RU000A0JXQ93;0;20190103;152912;104.300000000;352
RU000A0JXQ93;0;20190103;162555;104.350000000;13
RU000A0JXQ93;0;20190103;165723;104.350000000;10
RU000A0JXQ93;0;20190103;173931;104.350000000;1
RU000A0JXQ93;0;20190103;180149;104.350000000;35
RU000A0JXQ93;0;20190103;181122;103.930000000;12
RU000A0JXQ93;0;20190103;181122;103.920000000;40
RU000A0JXQ93;0;20190103;184257;104.340000000;1
RU000A0JXQ93;0;20190104;112427;104.290000000;11
RU000A0JXQ93;0;20190104;112427;104.300000000;62
RU000A0JXQ93;0;20190104;115646;104.300000000;7
RU000A0JXQ93;0;20190104;120628;104.300000000;2
RU000A0JXQ93;0;20190104;122700;104.300000000;15
RU000A0JXQ93;0;20190104;142055;104.300000000;10
RU000A0JXQ93;0;20190104;143328;104.300000000;10
RU000A0JXQ93;0;20190104;144310;103.550000000;10
RU000A0JXQ93;0;20190104;151032;104.290000000;1
RU000A0JXQ93;0;20190104;151731;104.290000000;9
RU000A0JXQ93;0;20190104;151731;104.290000000;23
RU000A0JXQ93;0;20190104;155623;104.290000000;20
RU000A0JXQ93;0;20190104;163647;104.290000000;15
RU000A0JXQ93;0;20190104;172529;104.290000000;42
RU000A0JXQ93;0;20190104;172529;104.300000000;8
RU000A0JXQ93;0;20190104;172556;104.300000000;2
RU000A0JXQ93;0;20190104;173300;104.300000000;45
RU000A0JXQ93;0;20190104;175200;104.300000000;4
RU000A0JXQ93;0;20190104;182534;104.300000000;5
RU000A0JXQ93;0;20190108;102641;103.420000000;26
RU000A0JXQ93;0;20190108;102718;103.420000000;9
RU000A0JXQ93;0;20190108;104117;104.340000000;26
RU000A0JXQ93;0;20190108;104117;104.340000000;21
RU000A0JXQ93;0;20190108;110154;104.330000000;9
RU000A0JXQ93;0;20190108;110154;104.340000000;9
RU000A0JXQ93;0;20190108;110154;104.350000000;12
RU000A0JXQ93;0;20190108;111453;104.010000000;12
RU000A0JXQ93;0;20190108;111453;104.000000000;1
RU000A0JXQ93;0;20190108;111453;103.500000000;4
RU000A0JXQ93;0;20190108;111752;104.340000000;10
RU000A0JXQ93;0;20190108;120342;104.340000000;2
RU000A0JXQ93;0;20190108;120342;104.350000000;8
RU000A0JXQ93;0;20190108;120602;104.350000000;100
RU000A0JXQ93;0;20190108;122137;104.340000000;36
RU000A0JXQ93;0;20190108;123829;104.340000000;1
RU000A0JXQ93;0;20190108;125445;104.340000000;26
RU000A0JXQ93;0;20190108;130708;104.340000000;2
