<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0ZZFH2;1;20190103;105600;101.5700000;101.5900000;101.5700000;101.5900000;30
RU000A0ZZFH2;1;20190103;131200;101.5500000;101.5500000;101.5500000;101.5500000;95
RU000A0ZZFH2;1;20190103;132100;101.5500000;101.5500000;101.5500000;101.5500000;3
RU000A0ZZFH2;1;20190103;172700;101.5500000;101.5700000;101.5500000;101.5700000;350
RU000A0ZZFH2;1;20190104;102400;101.0000000;101.6000000;101.0000000;101.6000000;150
RU000A0ZZFH2;1;20190104;112800;101.6000000;101.6000000;101.6000000;101.6000000;10
RU000A0ZZFH2;1;20190104;112900;101.6000000;101.6000000;101.6000000;101.6000000;2
RU000A0ZZFH2;1;20190104;115200;101.0300000;101.0300000;101.0300000;101.0300000;6
RU000A0ZZFH2;1;20190104;122400;101.0200000;101.0200000;100.6000000;100.6000000;63
RU000A0ZZFH2;1;20190104;122500;101.5900000;101.6000000;101.5900000;101.6000000;10
RU000A0ZZFH2;1;20190104;134500;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A0ZZFH2;1;20190108;103700;101.3900000;101.6500000;101.3900000;101.6500000;93
RU000A0ZZFH2;1;20190108;104100;101.3500000;101.3500000;101.3500000;101.3500000;22
RU000A0ZZFH2;1;20190108;105100;100.8700000;100.8700000;100.8700000;100.8700000;6
RU000A0ZZFH2;1;20190108;110500;101.3400000;101.3500000;101.3400000;101.3500000;110
RU000A0ZZFH2;1;20190108;122600;101.3500000;101.3500000;101.3500000;101.3500000;1
RU000A0ZZFH2;1;20190108;123100;101.3500000;101.3500000;101.3500000;101.3500000;20
RU000A0ZZFH2;1;20190108;125000;101.2000000;101.2000000;101.2000000;101.2000000;20
RU000A0ZZFH2;1;20190108;130500;101.3500000;101.3500000;101.3500000;101.3500000;50
RU000A0ZZFH2;1;20190108;130600;101.3500000;101.3500000;101.0100000;101.0100000;2
RU000A0ZZFH2;1;20190108;133600;101.3400000;101.3500000;101.3400000;101.3500000;5
RU000A0ZZFH2;1;20190108;135000;101.3500000;101.3500000;101.3500000;101.3500000;100
RU000A0ZZFH2;1;20190108;143100;101.3500000;101.3500000;101.3500000;101.3500000;10
RU000A0ZZFH2;1;20190108;151200;101.3500000;101.3500000;101.3500000;101.3500000;10
RU000A0ZZFH2;1;20190108;152100;101.3500000;101.3500000;101.3500000;101.3500000;23
RU000A0ZZFH2;1;20190108;161600;101.1100000;101.1100000;101.0000000;101.0000000;21
RU000A0ZZFH2;1;20190108;182600;101.2500000;101.2500000;101.2500000;101.2500000;1
RU000A0ZZFH2;1;20190108;183600;101.2500000;101.3500000;101.2500000;101.3500000;100
RU000A0ZZFH2;1;20190109;100200;100.9200000;100.9200000;100.9100000;100.9100000;2
RU000A0ZZFH2;1;20190109;101300;101.2400000;101.2500000;101.2400000;101.2500000;95
RU000A0ZZFH2;1;20190109;104700;101.2500000;101.2500000;101.2500000;101.2500000;186
RU000A0ZZFH2;1;20190109;112900;101.2400000;101.2500000;101.2400000;101.2500000;60
RU000A0ZZFH2;1;20190109;123000;101.0500000;101.0500000;101.0500000;101.0500000;38
RU000A0ZZFH2;1;20190109;124900;101.0500000;101.0500000;101.0500000;101.0500000;5
RU000A0ZZFH2;1;20190109;125000;101.0500000;101.0500000;101.0500000;101.0500000;5
RU000A0ZZFH2;1;20190109;125700;101.0500000;101.0500000;101.0500000;101.0500000;1
RU000A0ZZFH2;1;20190109;131400;101.0500000;101.0500000;101.0500000;101.0500000;251
