<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A0ZZFH2;0;20190103;105652;101.570000000;1
RU000A0ZZFH2;0;20190103;105652;101.580000000;10
RU000A0ZZFH2;0;20190103;105652;101.590000000;19
RU000A0ZZFH2;0;20190103;131233;101.550000000;95
RU000A0ZZFH2;0;20190103;132156;101.550000000;3
RU000A0ZZFH2;0;20190103;172742;101.550000000;30
RU000A0ZZFH2;0;20190103;172742;101.550000000;45
RU000A0ZZFH2;0;20190103;172742;101.570000000;275
RU000A0ZZFH2;0;20190104;102455;101.000000000;7
RU000A0ZZFH2;0;20190104;102455;101.600000000;30
RU000A0ZZFH2;0;20190104;102455;101.600000000;113
RU000A0ZZFH2;0;20190104;112842;101.600000000;10
RU000A0ZZFH2;0;20190104;112946;101.600000000;2
RU000A0ZZFH2;0;20190104;115231;101.030000000;6
RU000A0ZZFH2;0;20190104;122407;101.020000000;1
RU000A0ZZFH2;0;20190104;122407;101.020000000;4
RU000A0ZZFH2;0;20190104;122407;101.000000000;1
RU000A0ZZFH2;0;20190104;122407;100.710000000;1
RU000A0ZZFH2;0;20190104;122407;100.700000000;5
RU000A0ZZFH2;0;20190104;122407;100.700000000;50
RU000A0ZZFH2;0;20190104;122407;100.600000000;1
RU000A0ZZFH2;0;20190104;122504;101.590000000;6
RU000A0ZZFH2;0;20190104;122504;101.600000000;4
RU000A0ZZFH2;0;20190104;134503;101.500000000;1
RU000A0ZZFH2;0;20190108;103743;101.390000000;1
RU000A0ZZFH2;0;20190108;103743;101.650000000;92
RU000A0ZZFH2;0;20190108;104159;101.350000000;22
RU000A0ZZFH2;0;20190108;105130;100.870000000;6
RU000A0ZZFH2;0;20190108;110547;101.340000000;6
RU000A0ZZFH2;0;20190108;110547;101.350000000;104
RU000A0ZZFH2;0;20190108;122657;101.350000000;1
RU000A0ZZFH2;0;20190108;123131;101.350000000;20
RU000A0ZZFH2;0;20190108;125000;101.200000000;20
RU000A0ZZFH2;0;20190108;130538;101.350000000;50
RU000A0ZZFH2;0;20190108;130614;101.350000000;1
RU000A0ZZFH2;0;20190108;130622;101.010000000;1
RU000A0ZZFH2;0;20190108;133608;101.340000000;1
RU000A0ZZFH2;0;20190108;133608;101.350000000;4
RU000A0ZZFH2;0;20190108;135019;101.350000000;100
RU000A0ZZFH2;0;20190108;143147;101.350000000;10
RU000A0ZZFH2;0;20190108;151213;101.350000000;10
RU000A0ZZFH2;0;20190108;152135;101.350000000;23
RU000A0ZZFH2;0;20190108;161632;101.110000000;1
RU000A0ZZFH2;0;20190108;161632;101.100000000;10
RU000A0ZZFH2;0;20190108;161632;101.010000000;1
RU000A0ZZFH2;0;20190108;161632;101.000000000;9
RU000A0ZZFH2;0;20190108;182614;101.250000000;1
RU000A0ZZFH2;0;20190108;183635;101.250000000;49
RU000A0ZZFH2;0;20190108;183635;101.340000000;1
RU000A0ZZFH2;0;20190108;183635;101.350000000;50
RU000A0ZZFH2;0;20190109;100220;100.920000000;1
RU000A0ZZFH2;0;20190109;100220;100.910000000;1
RU000A0ZZFH2;0;20190109;101335;101.240000000;1
RU000A0ZZFH2;0;20190109;101335;101.250000000;94
RU000A0ZZFH2;0;20190109;104723;101.250000000;186
RU000A0ZZFH2;0;20190109;112937;101.240000000;1
RU000A0ZZFH2;0;20190109;112937;101.250000000;59
RU000A0ZZFH2;0;20190109;123031;101.050000000;3
RU000A0ZZFH2;0;20190109;123031;101.050000000;35
RU000A0ZZFH2;0;20190109;124953;101.050000000;5
RU000A0ZZFH2;0;20190109;125013;101.050000000;5
RU000A0ZZFH2;0;20190109;125705;101.050000000;1
RU000A0ZZFH2;0;20190109;131423;101.050000000;251
RU000A0ZZFH2;0;20190109;141819;101.480000000;3
RU000A0ZZFH2;0;20190109;141819;101.480000000;4
RU000A0ZZFH2;0;20190109;141819;101.490000000;13
RU000A0ZZFH2;0;20190109;144233;101.490000000;5
RU000A0ZZFH2;0;20190109;145719;101.490000000;9
RU000A0ZZFH2;0;20190109;155650;101.490000000;80
RU000A0ZZFH2;0;20190109;171343;101.120000000;3
RU000A0ZZFH2;0;20190109;171401;101.110000000;112
RU000A0ZZFH2;0;20190109;175534;101.480000000;3
RU000A0ZZFH2;0;20190109;175534;101.490000000;97
RU000A0ZZFH2;0;20190109;180501;101.490000000;10
