<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100JH0;1;20190709;145600;108.5600000;108.5600000;108.5600000;108.5600000;25
RU000A100JH0;1;20190709;151400;108.5600000;108.5600000;108.5600000;108.5600000;1
RU000A100JH0;1;20190709;151500;101.0000000;101.0000000;101.0000000;101.0000000;1
RU000A100JH0;1;20190709;154900;102.5000000;102.5000000;102.5000000;102.5000000;1
RU000A100JH0;1;20190709;160100;102.0000000;102.0000000;102.0000000;102.0000000;1
RU000A100JH0;1;20190709;161500;102.0000000;102.0000000;102.0000000;102.0000000;5
RU000A100JH0;1;20190709;163200;101.6100000;101.6100000;101.5300000;101.5300000;14517
RU000A100JH0;1;20190709;163300;101.5300000;101.5300000;101.5300000;101.5300000;983
RU000A100JH0;1;20190709;163500;102.0000000;102.0000000;102.0000000;102.0000000;470
RU000A100JH0;1;20190709;163600;101.8500000;101.8500000;101.8500000;101.8500000;11000
RU000A100JH0;1;20190709;163800;101.6600000;101.6600000;101.6600000;101.6600000;1
RU000A100JH0;1;20190709;164400;102.0000000;102.0000000;102.0000000;102.0000000;40
RU000A100JH0;1;20190709;164500;102.0000000;102.0000000;102.0000000;102.0000000;4
RU000A100JH0;1;20190709;164600;101.9900000;101.9900000;101.9900000;101.9900000;10
RU000A100JH0;1;20190709;164800;102.0000000;102.0000000;102.0000000;102.0000000;50
RU000A100JH0;1;20190709;164900;102.0000000;102.0000000;102.0000000;102.0000000;50
RU000A100JH0;1;20190709;165500;101.9900000;101.9900000;101.9900000;101.9900000;200
RU000A100JH0;1;20190709;165800;101.9900000;102.0000000;101.9900000;101.9900000;245
RU000A100JH0;1;20190709;165900;102.0000000;102.0000000;102.0000000;102.0000000;543
RU000A100JH0;1;20190709;170000;102.0000000;102.0000000;101.9900000;102.0000000;520
RU000A100JH0;1;20190709;170200;102.0000000;102.0000000;102.0000000;102.0000000;206
RU000A100JH0;1;20190709;170300;102.0000000;102.0000000;102.0000000;102.0000000;497
RU000A100JH0;1;20190709;170600;102.0000000;102.0000000;102.0000000;102.0000000;99
RU000A100JH0;1;20190709;170900;101.9400000;101.9400000;101.9400000;101.9400000;89
RU000A100JH0;1;20190709;171000;101.9400000;101.9400000;101.9400000;101.9400000;1
RU000A100JH0;1;20190709;171300;101.9400000;101.9400000;101.9400000;101.9400000;40
RU000A100JH0;1;20190709;171400;101.9400000;101.9400000;101.9400000;101.9400000;70
RU000A100JH0;1;20190709;171500;101.9400000;101.9500000;101.9400000;101.9500000;499
RU000A100JH0;1;20190709;171700;101.9500000;101.9500000;101.9500000;101.9500000;1
RU000A100JH0;1;20190709;171800;101.9500000;101.9500000;101.9500000;101.9500000;500
RU000A100JH0;1;20190709;172500;101.9500000;101.9500000;101.9500000;101.9500000;300
RU000A100JH0;1;20190709;172700;101.9500000;101.9500000;101.9500000;101.9500000;300
RU000A100JH0;1;20190709;172800;101.9500000;102.0000000;101.9500000;102.0000000;10242
RU000A100JH0;1;20190709;173400;102.4800000;102.4800000;102.4800000;102.4800000;50
RU000A100JH0;1;20190709;174800;102.4800000;102.4800000;102.4800000;102.4800000;30
RU000A100JH0;1;20190709;175200;102.4000000;102.4000000;102.0200000;102.0200000;500
RU000A100JH0;1;20190709;175500;102.4800000;102.4800000;102.4800000;102.4800000;25
RU000A100JH0;1;20190709;175900;102.4700000;102.4700000;102.4700000;102.4700000;20
RU000A100JH0;1;20190709;180900;102.4700000;102.4700000;102.4700000;102.4700000;10
RU000A100JH0;1;20190709;181000;102.4700000;102.7400000;102.4700000;102.7400000;320
RU000A100JH0;1;20190709;182100;102.7400000;102.7400000;102.7400000;102.7400000;13
RU000A100JH0;1;20190709;182300;102.7400000;102.7400000;102.6000000;102.6000000;101
RU000A100JH0;1;20190709;182400;102.6000000;102.6000000;102.6000000;102.6000000;10
RU000A100JH0;1;20190709;182700;102.6000000;102.6000000;102.6000000;102.6000000;70
RU000A100JH0;1;20190709;182800;102.6000000;102.6000000;102.6000000;102.6000000;31
RU000A100JH0;1;20190709;182900;102.6000000;102.6000000;102.5400000;102.5400000;6
RU000A100JH0;1;20190709;183000;102.5000000;102.5000000;102.5000000;102.5000000;18
RU000A100JH0;1;20190709;183500;102.3000000;102.3000000;102.1000000;102.1000000;167
RU000A100JH0;1;20190709;183900;102.5000000;102.5000000;102.0200000;102.0200000;300
RU000A100JH0;1;20190709;184000;102.5900000;102.5900000;102.5900000;102.5900000;75
RU000A100JH0;1;20190709;184200;102.5900000;102.6000000;102.5900000;102.6000000;97
RU000A100JH0;1;20190710;100100;104.0000000;104.0000000;104.0000000;104.0000000;10
RU000A100JH0;1;20190710;100200;102.6000000;102.6000000;102.6000000;102.6000000;401
RU000A100JH0;1;20190710;100500;103.0000000;103.0000000;103.0000000;103.0000000;1000
RU000A100JH0;1;20190710;101200;103.8000000;103.8000000;103.8000000;103.8000000;500
RU000A100JH0;1;20190710;101600;103.7000000;103.7000000;103.7000000;103.7000000;40
RU000A100JH0;1;20190710;102300;103.4900000;103.4900000;103.4900000;103.4900000;50
RU000A100JH0;1;20190710;102600;103.4900000;103.4900000;103.4900000;103.4900000;50
RU000A100JH0;1;20190710;102700;103.4900000;103.4900000;103.4900000;103.4900000;50
RU000A100JH0;1;20190710;103000;103.5000000;103.5000000;103.4900000;103.4900000;201
RU000A100JH0;1;20190710;103100;103.4900000;103.4900000;103.4900000;103.4900000;109
RU000A100JH0;1;20190710;104200;103.4000000;103.4000000;103.4000000;103.4000000;91
RU000A100JH0;1;20190710;104700;103.4000000;103.4000000;103.4000000;103.4000000;50
RU000A100JH0;1;20190710;104800;103.4000000;103.4100000;103.4000000;103.4100000;800
RU000A100JH0;1;20190710;105000;103.4100000;103.4100000;103.4100000;103.4100000;450
RU000A100JH0;1;20190710;105100;103.4200000;103.4200000;103.4200000;103.4200000;16
RU000A100JH0;1;20190710;105200;103.4200000;103.4200000;103.4200000;103.4200000;175
RU000A100JH0;1;20190710;105300;103.4200000;103.4200000;103.4200000;103.4200000;300
RU000A100JH0;1;20190710;105400;103.4200000;103.4300000;103.4200000;103.4300000;239
RU000A100JH0;1;20190710;105500;103.4300000;103.4300000;103.4300000;103.4300000;270
RU000A100JH0;1;20190710;105600;103.4400000;103.4400000;103.4400000;103.4400000;248
RU000A100JH0;1;20190710;105800;103.4400000;103.4400000;103.4400000;103.4400000;250
RU000A100JH0;1;20190710;105900;103.4400000;103.4400000;103.4400000;103.4400000;1
RU000A100JH0;1;20190710;110600;103.4400000;103.5000000;103.4400000;103.5000000;5000
RU000A100JH0;1;20190710;110700;103.5000000;103.5000000;103.5000000;103.5000000;10000
RU000A100JH0;1;20190710;110800;103.5000000;103.5000000;103.5000000;103.5000000;2027
RU000A100JH0;1;20190710;111100;103.5000000;103.5000000;103.5000000;103.5000000;200
RU000A100JH0;1;20190710;111200;103.5000000;103.5000000;103.4000000;103.4000000;721
RU000A100JH0;1;20190710;111300;103.4000000;103.4000000;103.4000000;103.4000000;165
RU000A100JH0;1;20190710;111400;103.4000000;103.4000000;103.4000000;103.4000000;205
RU000A100JH0;1;20190710;111500;103.4000000;103.4000000;103.4000000;103.4000000;109
RU000A100JH0;1;20190710;112000;103.4000000;103.4000000;103.4000000;103.4000000;100
RU000A100JH0;1;20190710;112300;103.4000000;103.4000000;103.4000000;103.4000000;1
RU000A100JH0;1;20190710;112600;103.4000000;103.4000000;103.4000000;103.4000000;100
RU000A100JH0;1;20190710;112900;103.4000000;103.4000000;103.4000000;103.4000000;24
RU000A100JH0;1;20190710;113300;103.4000000;103.4000000;103.4000000;103.4000000;1
RU000A100JH0;1;20190710;113400;103.4000000;103.4000000;103.4000000;103.4000000;30
RU000A100JH0;1;20190710;113800;103.4000000;103.4000000;103.4000000;103.4000000;150
RU000A100JH0;1;20190710;113900;103.4000000;103.4000000;103.4000000;103.4000000;200
RU000A100JH0;1;20190710;114100;103.4000000;103.4000000;103.4000000;103.4000000;135
