<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A100JH0;0;20190709;145635;108.560000000;25
RU000A100JH0;0;20190709;151456;108.560000000;1
RU000A100JH0;0;20190709;151505;101.000000000;1
RU000A100JH0;0;20190709;154912;102.500000000;1
RU000A100JH0;0;20190709;160110;102.000000000;1
RU000A100JH0;0;20190709;161536;102.000000000;5
RU000A100JH0;0;20190709;163257;101.610000000;221
RU000A100JH0;0;20190709;163257;101.600000000;1
RU000A100JH0;0;20190709;163257;101.550000000;27
RU000A100JH0;0;20190709;163257;101.530000000;50
RU000A100JH0;0;20190709;163257;101.530000000;2
RU000A100JH0;0;20190709;163257;101.530000000;459
RU000A100JH0;0;20190709;163257;101.530000000;34
RU000A100JH0;0;20190709;163257;101.530000000;3
RU000A100JH0;0;20190709;163257;101.530000000;7
RU000A100JH0;0;20190709;163257;101.530000000;8
RU000A100JH0;0;20190709;163257;101.530000000;2
RU000A100JH0;0;20190709;163257;101.530000000;38
RU000A100JH0;0;20190709;163257;101.530000000;5
RU000A100JH0;0;20190709;163257;101.530000000;4
RU000A100JH0;0;20190709;163257;101.530000000;3
RU000A100JH0;0;20190709;163257;101.530000000;2
RU000A100JH0;0;20190709;163257;101.530000000;7
RU000A100JH0;0;20190709;163257;101.530000000;13
RU000A100JH0;0;20190709;163257;101.530000000;56
RU000A100JH0;0;20190709;163257;101.530000000;74
RU000A100JH0;0;20190709;163257;101.530000000;73
RU000A100JH0;0;20190709;163257;101.530000000;191
RU000A100JH0;0;20190709;163257;101.530000000;104
RU000A100JH0;0;20190709;163257;101.530000000;73
RU000A100JH0;0;20190709;163257;101.530000000;146
RU000A100JH0;0;20190709;163257;101.530000000;60
RU000A100JH0;0;20190709;163257;101.530000000;45
RU000A100JH0;0;20190709;163257;101.530000000;10
RU000A100JH0;0;20190709;163257;101.530000000;11
RU000A100JH0;0;20190709;163257;101.530000000;23
RU000A100JH0;0;20190709;163257;101.530000000;9
RU000A100JH0;0;20190709;163257;101.530000000;56
RU000A100JH0;0;20190709;163257;101.530000000;5
RU000A100JH0;0;20190709;163257;101.530000000;1
RU000A100JH0;0;20190709;163257;101.530000000;19
RU000A100JH0;0;20190709;163257;101.530000000;54
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;196
RU000A100JH0;0;20190709;163257;101.530000000;37
RU000A100JH0;0;20190709;163257;101.530000000;128
RU000A100JH0;0;20190709;163257;101.530000000;47
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;49
RU000A100JH0;0;20190709;163257;101.530000000;123
RU000A100JH0;0;20190709;163257;101.530000000;50
RU000A100JH0;0;20190709;163257;101.530000000;50
RU000A100JH0;0;20190709;163257;101.530000000;62
RU000A100JH0;0;20190709;163257;101.530000000;99
RU000A100JH0;0;20190709;163257;101.530000000;63
RU000A100JH0;0;20190709;163257;101.530000000;43
RU000A100JH0;0;20190709;163257;101.530000000;125
RU000A100JH0;0;20190709;163257;101.530000000;63
RU000A100JH0;0;20190709;163257;101.530000000;1262
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;126
RU000A100JH0;0;20190709;163257;101.530000000;77
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;50
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;56
RU000A100JH0;0;20190709;163257;101.530000000;3
RU000A100JH0;0;20190709;163257;101.530000000;48
RU000A100JH0;0;20190709;163257;101.530000000;42
RU000A100JH0;0;20190709;163257;101.530000000;341
RU000A100JH0;0;20190709;163257;101.530000000;71
RU000A100JH0;0;20190709;163257;101.530000000;42
RU000A100JH0;0;20190709;163257;101.530000000;43
RU000A100JH0;0;20190709;163257;101.530000000;96
RU000A100JH0;0;20190709;163257;101.530000000;53
RU000A100JH0;0;20190709;163257;101.530000000;31
RU000A100JH0;0;20190709;163257;101.530000000;53
RU000A100JH0;0;20190709;163257;101.530000000;160
RU000A100JH0;0;20190709;163257;101.530000000;242
RU000A100JH0;0;20190709;163257;101.530000000;42
RU000A100JH0;0;20190709;163257;101.530000000;42
RU000A100JH0;0;20190709;163257;101.530000000;1692
RU000A100JH0;0;20190709;163257;101.530000000;106
RU000A100JH0;0;20190709;163257;101.530000000;152
RU000A100JH0;0;20190709;163257;101.530000000;106
RU000A100JH0;0;20190709;163257;101.530000000;42
RU000A100JH0;0;20190709;163257;101.530000000;61
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;207
RU000A100JH0;0;20190709;163257;101.530000000;812
RU000A100JH0;0;20190709;163257;101.530000000;92
RU000A100JH0;0;20190709;163257;101.530000000;41
RU000A100JH0;0;20190709;163257;101.530000000;520
RU000A100JH0;0;20190709;163257;101.530000000;260
RU000A100JH0;0;20190709;163257;101.530000000;102
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;105
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;51
RU000A100JH0;0;20190709;163257;101.530000000;615
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;31
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;94
RU000A100JH0;0;20190709;163257;101.530000000;130
RU000A100JH0;0;20190709;163257;101.530000000;73
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;115
RU000A100JH0;0;20190709;163257;101.530000000;52
RU000A100JH0;0;20190709;163257;101.530000000;104
RU000A100JH0;0;20190709;163257;101.530000000;107
RU000A100JH0;0;20190709;163257;101.530000000;593
RU000A100JH0;0;20190709;163257;101.530000000;32
RU000A100JH0;0;20190709;163257;101.530000000;45
RU000A100JH0;0;20190709;163257;101.530000000;53
RU000A100JH0;0;20190709;163257;101.530000000;79
RU000A100JH0;0;20190709;163257;101.530000000;64
RU000A100JH0;0;20190709;163257;101.530000000;7
RU000A100JH0;0;20190709;163257;101.530000000;13
RU000A100JH0;0;20190709;163257;101.530000000;38
RU000A100JH0;0;20190709;163257;101.530000000;28
RU000A100JH0;0;20190709;163257;101.530000000;98
RU000A100JH0;0;20190709;163257;101.530000000;40
RU000A100JH0;0;20190709;163257;101.530000000;34
RU000A100JH0;0;20190709;163257;101.530000000;124
RU000A100JH0;0;20190709;163257;101.530000000;33
RU000A100JH0;0;20190709;163257;101.530000000;33
RU000A100JH0;0;20190709;163257;101.530000000;209
RU000A100JH0;0;20190709;163257;101.530000000;86
RU000A100JH0;0;20190709;163257;101.530000000;32
RU000A100JH0;0;20190709;163257;101.530000000;312
RU000A100JH0;0;20190709;163257;101.530000000;56
RU000A100JH0;0;20190709;163257;101.530000000;28
RU000A100JH0;0;20190709;163303;101.530000000;5
RU000A100JH0;0;20190709;163319;101.530000000;825
RU000A100JH0;0;20190709;163326;101.530000000;10
RU000A100JH0;0;20190709;163331;101.530000000;143
RU000A100JH0;0;20190709;163505;102.000000000;470
RU000A100JH0;0;20190709;163619;101.850000000;8000
RU000A100JH0;0;20190709;163633;101.850000000;2500
RU000A100JH0;0;20190709;163654;101.850000000;500
RU000A100JH0;0;20190709;163832;101.660000000;1
RU000A100JH0;0;20190709;164404;102.000000000;40
RU000A100JH0;0;20190709;164502;102.000000000;4
RU000A100JH0;0;20190709;164633;101.990000000;10
RU000A100JH0;0;20190709;164857;102.000000000;50
RU000A100JH0;0;20190709;164905;102.000000000;50
RU000A100JH0;0;20190709;165540;101.990000000;200
RU000A100JH0;0;20190709;165802;101.990000000;45
RU000A100JH0;0;20190709;165825;102.000000000;100
RU000A100JH0;0;20190709;165841;101.990000000;100
RU000A100JH0;0;20190709;165911;102.000000000;537
RU000A100JH0;0;20190709;165941;102.000000000;1
RU000A100JH0;0;20190709;165946;102.000000000;5
RU000A100JH0;0;20190709;170023;102.000000000;15
RU000A100JH0;0;20190709;170052;101.990000000;5
RU000A100JH0;0;20190709;170059;102.000000000;500
RU000A100JH0;0;20190709;170222;102.000000000;200
RU000A100JH0;0;20190709;170239;102.000000000;6
RU000A100JH0;0;20190709;170300;102.000000000;309
RU000A100JH0;0;20190709;170308;102.000000000;100
RU000A100JH0;0;20190709;170327;102.000000000;27
RU000A100JH0;0;20190709;170332;102.000000000;10
RU000A100JH0;0;20190709;170355;102.000000000;51
RU000A100JH0;0;20190709;170604;102.000000000;99
RU000A100JH0;0;20190709;170903;101.940000000;83
RU000A100JH0;0;20190709;170908;101.940000000;5
RU000A100JH0;0;20190709;170954;101.940000000;1
RU000A100JH0;0;20190709;171009;101.940000000;1
RU000A100JH0;0;20190709;171342;101.940000000;40
RU000A100JH0;0;20190709;171437;101.940000000;70
RU000A100JH0;0;20190709;171509;101.940000000;52
RU000A100JH0;0;20190709;171538;101.950000000;447
RU000A100JH0;0;20190709;171719;101.950000000;1
