<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100V79;1;20190925;155000;100.2300000;100.2300000;100.0000000;100.0200000;9020
RU000A100V79;1;20190925;155200;100.2000000;100.2000000;100.2000000;100.2000000;10
RU000A100V79;1;20190925;155600;100.2500000;100.2500000;100.2500000;100.2500000;100
RU000A100V79;1;20190925;160800;100.2900000;100.2900000;100.2900000;100.2900000;1
RU000A100V79;1;20190925;161300;100.4500000;100.4500000;100.4500000;100.4500000;1
RU000A100V79;1;20190925;161900;100.3900000;100.3900000;100.3900000;100.3900000;50
RU000A100V79;1;20190925;162000;100.3900000;100.3900000;100.3900000;100.3900000;50
RU000A100V79;1;20190925;162500;100.3900000;100.3900000;100.3900000;100.3900000;54
RU000A100V79;1;20190925;162800;100.2000000;100.2000000;100.2000000;100.2000000;1
RU000A100V79;1;20190925;163200;100.2000000;100.2000000;100.2000000;100.2000000;4
RU000A100V79;1;20190925;163800;100.3500000;100.3500000;100.3500000;100.3500000;5
RU000A100V79;1;20190925;164900;100.2000000;100.2000000;100.1000000;100.1000000;1235
RU000A100V79;1;20190925;165000;100.1000000;100.1000000;100.1000000;100.1000000;30
RU000A100V79;1;20190925;165100;100.0800000;100.0800000;100.0800000;100.0800000;50
RU000A100V79;1;20190925;165200;100.0500000;100.0500000;100.0500000;100.0500000;15035
RU000A100V79;1;20190925;165700;100.1000000;100.1000000;100.1000000;100.1000000;20
RU000A100V79;1;20190925;170100;100.1000000;100.1000000;100.1000000;100.1000000;400
RU000A100V79;1;20190925;170400;100.1000000;100.1000000;100.1000000;100.1000000;1
RU000A100V79;1;20190925;170500;100.1000000;100.1000000;100.1000000;100.1000000;1
RU000A100V79;1;20190925;170700;100.1000000;100.1000000;100.1000000;100.1000000;350
RU000A100V79;1;20190925;171200;100.1000000;100.1000000;100.1000000;100.1000000;30
RU000A100V79;1;20190925;172200;100.0900000;100.0900000;100.0900000;100.0900000;16
RU000A100V79;1;20190925;172400;100.0900000;100.0900000;100.0900000;100.0900000;120
RU000A100V79;1;20190925;172800;100.0900000;100.0900000;100.0900000;100.0900000;25
RU000A100V79;1;20190925;173200;100.0800000;100.0800000;100.0800000;100.0800000;6
RU000A100V79;1;20190925;173300;100.0900000;100.0900000;100.0900000;100.0900000;50
RU000A100V79;1;20190925;173400;100.0500000;100.0900000;100.0500000;100.0900000;11
RU000A100V79;1;20190925;173800;100.0600000;100.0600000;100.0600000;100.0600000;1
RU000A100V79;1;20190925;174200;100.0900000;100.0900000;100.0900000;100.0900000;1
