<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A100V79;0;20190925;154925;100.230000000;1
RU000A100V79;0;20190925;154925;100.220000000;80
RU000A100V79;0;20190925;154925;100.210000000;15
RU000A100V79;0;20190925;154925;100.210000000;200
RU000A100V79;0;20190925;154925;100.210000000;400
RU000A100V79;0;20190925;154925;100.200000000;800
RU000A100V79;0;20190925;154925;100.200000000;50
RU000A100V79;0;20190925;154925;100.190000000;50
RU000A100V79;0;20190925;154925;100.150000000;25
RU000A100V79;0;20190925;154925;100.150000000;30
RU000A100V79;0;20190925;154925;100.150000000;1
RU000A100V79;0;20190925;154925;100.150000000;100
RU000A100V79;0;20190925;154925;100.120000000;15
RU000A100V79;0;20190925;154925;100.120000000;25
RU000A100V79;0;20190925;154925;100.110000000;15
RU000A100V79;0;20190925;154925;100.110000000;67
RU000A100V79;0;20190925;154925;100.110000000;300
RU000A100V79;0;20190925;154925;100.110000000;5
RU000A100V79;0;20190925;154925;100.110000000;50
RU000A100V79;0;20190925;154925;100.110000000;50
RU000A100V79;0;20190925;154925;100.110000000;150
RU000A100V79;0;20190925;154925;100.110000000;50
RU000A100V79;0;20190925;154925;100.100000000;20
RU000A100V79;0;20190925;154925;100.100000000;50
RU000A100V79;0;20190925;154925;100.100000000;150
RU000A100V79;0;20190925;154925;100.100000000;44
RU000A100V79;0;20190925;154925;100.100000000;6
RU000A100V79;0;20190925;154925;100.100000000;168
RU000A100V79;0;20190925;154925;100.100000000;20
RU000A100V79;0;20190925;154925;100.100000000;30
RU000A100V79;0;20190925;154925;100.100000000;7
RU000A100V79;0;20190925;154925;100.100000000;200
RU000A100V79;0;20190925;154925;100.100000000;30
RU000A100V79;0;20190925;154925;100.100000000;80
RU000A100V79;0;20190925;154925;100.100000000;7
RU000A100V79;0;20190925;154925;100.100000000;20
RU000A100V79;0;20190925;154925;100.100000000;15
RU000A100V79;0;20190925;154925;100.100000000;80
RU000A100V79;0;20190925;154925;100.100000000;20
RU000A100V79;0;20190925;154925;100.100000000;40
RU000A100V79;0;20190925;154925;100.100000000;100
RU000A100V79;0;20190925;154925;100.100000000;1
RU000A100V79;0;20190925;154925;100.100000000;50
RU000A100V79;0;20190925;154925;100.100000000;15
RU000A100V79;0;20190925;154925;100.100000000;5
RU000A100V79;0;20190925;154925;100.100000000;65
RU000A100V79;0;20190925;154925;100.100000000;44
RU000A100V79;0;20190925;154925;100.100000000;100
RU000A100V79;0;20190925;154925;100.060000000;50
RU000A100V79;0;20190925;154925;100.050000000;15
RU000A100V79;0;20190925;154925;100.050000000;45
RU000A100V79;0;20190925;154925;100.050000000;1
RU000A100V79;0;20190925;154925;100.050000000;2
RU000A100V79;0;20190925;154925;100.050000000;55
RU000A100V79;0;20190925;154925;100.050000000;1
RU000A100V79;0;20190925;154925;100.050000000;5
RU000A100V79;0;20190925;154925;100.040000000;10
RU000A100V79;0;20190925;154925;100.040000000;15
RU000A100V79;0;20190925;154925;100.040000000;1
RU000A100V79;0;20190925;154925;100.040000000;1
RU000A100V79;0;20190925;154925;100.030000000;100
