<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A101H43;1;20200303;143200;101.0000000;101.0000000;100.2000000;100.2000000;10408
RU000A101H43;1;20200303;143300;100.1600000;100.1600000;100.1000000;100.1000000;100
RU000A101H43;1;20200303;143400;100.1600000;100.1600000;100.1000000;100.1600000;37
RU000A101H43;1;20200303;143500;100.1600000;100.1600000;100.1000000;100.1000000;645
RU000A101H43;1;20200303;143600;100.1000000;100.1000000;100.1000000;100.1000000;68
RU000A101H43;1;20200303;143700;100.1000000;100.1000000;100.1000000;100.1000000;55
RU000A101H43;1;20200303;143800;100.1000000;100.1000000;100.1000000;100.1000000;9
RU000A101H43;1;20200303;143900;100.1000000;100.1000000;100.1000000;100.1000000;82
RU000A101H43;1;20200303;144000;100.1000000;100.1000000;100.0900000;100.1000000;19
RU000A101H43;1;20200303;144100;100.1000000;100.1000000;100.0900000;100.0900000;80
RU000A101H43;1;20200303;144200;100.0900000;100.1000000;100.0900000;100.1000000;84
RU000A101H43;1;20200303;144300;100.1000000;100.1000000;100.1000000;100.1000000;424
RU000A101H43;1;20200303;144400;100.1600000;100.1600000;100.1600000;100.1600000;30
RU000A101H43;1;20200303;144500;100.1500000;100.1500000;100.1000000;100.1000000;268
RU000A101H43;1;20200303;144700;100.1400000;100.1500000;100.1400000;100.1500000;80
RU000A101H43;1;20200303;144800;100.1500000;100.1500000;100.1500000;100.1500000;152
RU000A101H43;1;20200303;144900;100.1600000;100.1600000;100.1600000;100.1600000;10
RU000A101H43;1;20200303;145000;100.1900000;100.2000000;100.1900000;100.2000000;1530
RU000A101H43;1;20200303;145100;100.2000000;100.2000000;100.2000000;100.2000000;7505
RU000A101H43;1;20200303;145200;100.2000000;100.2000000;100.2000000;100.2000000;693
RU000A101H43;1;20200303;145300;100.2000000;100.2000000;100.2000000;100.2000000;200
RU000A101H43;1;20200303;145400;100.2000000;100.2000000;100.2000000;100.2000000;1092
RU000A101H43;1;20200303;145500;100.2000000;100.2000000;100.2000000;100.2000000;3
RU000A101H43;1;20200303;145600;100.2000000;100.2000000;100.2000000;100.2000000;5
RU000A101H43;1;20200303;145700;100.1900000;100.1900000;100.1600000;100.1600000;68
RU000A101H43;1;20200303;145800;100.1900000;100.1900000;100.1900000;100.1900000;7
RU000A101H43;1;20200303;145900;100.1800000;100.1800000;100.1800000;100.1800000;7
RU000A101H43;1;20200303;150000;100.1800000;100.1800000;100.1800000;100.1800000;2
RU000A101H43;1;20200303;150100;100.1800000;100.1900000;100.1800000;100.1900000;303
RU000A101H43;1;20200303;150300;100.1600000;100.1800000;100.0700000;100.1800000;539
RU000A101H43;1;20200303;150400;100.1800000;100.1900000;100.1800000;100.1900000;2110
RU000A101H43;1;20200303;150500;100.1900000;100.1900000;100.1900000;100.1900000;160
RU000A101H43;1;20200303;150600;100.1900000;100.1900000;100.1900000;100.1900000;1
RU000A101H43;1;20200303;150700;100.1100000;100.1900000;100.1000000;100.1900000;173
RU000A101H43;1;20200303;150800;100.1900000;100.1900000;100.1900000;100.1900000;62
RU000A101H43;1;20200303;150900;100.1900000;100.1900000;100.1900000;100.1900000;3
RU000A101H43;1;20200303;151000;100.1900000;100.1900000;100.1900000;100.1900000;42
RU000A101H43;1;20200303;151100;100.1900000;100.1900000;100.1900000;100.1900000;160
RU000A101H43;1;20200303;151200;100.1800000;100.1800000;100.1200000;100.1200000;62
RU000A101H43;1;20200303;151400;100.1800000;100.1800000;100.1800000;100.1800000;5
RU000A101H43;1;20200303;151500;100.1800000;100.1800000;100.1800000;100.1800000;25
RU000A101H43;1;20200303;151600;100.1800000;100.1900000;100.1800000;100.1900000;40
RU000A101H43;1;20200303;151800;100.1800000;100.1800000;100.1500000;100.1500000;13
RU000A101H43;1;20200303;151900;100.1800000;100.1800000;100.1800000;100.1800000;1
RU000A101H43;1;20200303;152000;100.1800000;100.1800000;100.1800000;100.1800000;11
RU000A101H43;1;20200303;152100;100.1800000;100.1800000;100.1800000;100.1800000;1
RU000A101H43;1;20200303;152200;100.1800000;100.1800000;100.1800000;100.1800000;4
RU000A101H43;1;20200303;152300;100.1800000;100.1800000;100.1800000;100.1800000;54
