<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
RU000A101H43;0;20200303;143221;101.000000000;8
RU000A101H43;0;20200303;143221;101.000000000;1
RU000A101H43;0;20200303;143221;100.900000000;5
RU000A101H43;0;20200303;143221;100.800000000;1
RU000A101H43;0;20200303;143221;100.800000000;40
RU000A101H43;0;20200303;143221;100.800000000;1
RU000A101H43;0;20200303;143221;100.700000000;1
RU000A101H43;0;20200303;143221;100.600000000;1
RU000A101H43;0;20200303;143221;100.500000000;1
RU000A101H43;0;20200303;143221;100.500000000;50
RU000A101H43;0;20200303;143221;100.400000000;1
RU000A101H43;0;20200303;143221;100.400000000;4
RU000A101H43;0;20200303;143221;100.350000000;50
RU000A101H43;0;20200303;143221;100.300000000;5
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.300000000;10
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.300000000;18
RU000A101H43;0;20200303;143221;100.300000000;1
RU000A101H43;0;20200303;143221;100.210000000;100
RU000A101H43;0;20200303;143221;100.200000000;9980
RU000A101H43;0;20200303;143221;100.200000000;100
RU000A101H43;0;20200303;143221;100.200000000;25
RU000A101H43;0;20200303;143326;100.160000000;38
RU000A101H43;0;20200303;143326;100.100000000;10
RU000A101H43;0;20200303;143326;100.100000000;5
RU000A101H43;0;20200303;143326;100.100000000;1
RU000A101H43;0;20200303;143326;100.100000000;1
RU000A101H43;0;20200303;143334;100.100000000;25
RU000A101H43;0;20200303;143343;100.100000000;20
RU000A101H43;0;20200303;143440;100.160000000;1
RU000A101H43;0;20200303;143446;100.100000000;30
RU000A101H43;0;20200303;143453;100.160000000;6
RU000A101H43;0;20200303;143508;100.160000000;3
RU000A101H43;0;20200303;143526;100.160000000;2
RU000A101H43;0;20200303;143531;100.160000000;3
RU000A101H43;0;20200303;143539;100.160000000;5
RU000A101H43;0;20200303;143541;100.100000000;505
RU000A101H43;0;20200303;143541;100.100000000;10
RU000A101H43;0;20200303;143541;100.100000000;17
RU000A101H43;0;20200303;143541;100.100000000;100
RU000A101H43;0;20200303;143623;100.100000000;68
RU000A101H43;0;20200303;143712;100.100000000;49
RU000A101H43;0;20200303;143731;100.100000000;5
RU000A101H43;0;20200303;143748;100.100000000;1
RU000A101H43;0;20200303;143833;100.100000000;4
RU000A101H43;0;20200303;143845;100.100000000;5
RU000A101H43;0;20200303;143931;100.100000000;5
RU000A101H43;0;20200303;143949;100.100000000;75
RU000A101H43;0;20200303;143954;100.100000000;2
RU000A101H43;0;20200303;144005;100.100000000;1
RU000A101H43;0;20200303;144034;100.100000000;10
RU000A101H43;0;20200303;144045;100.100000000;5
RU000A101H43;0;20200303;144046;100.090000000;1
RU000A101H43;0;20200303;144055;100.100000000;2
RU000A101H43;0;20200303;144115;100.100000000;11
RU000A101H43;0;20200303;144123;100.100000000;5
RU000A101H43;0;20200303;144134;100.100000000;15
RU000A101H43;0;20200303;144135;100.090000000;10
RU000A101H43;0;20200303;144135;100.090000000;39
RU000A101H43;0;20200303;144211;100.090000000;3
RU000A101H43;0;20200303;144214;100.100000000;20
RU000A101H43;0;20200303;144252;100.100000000;30
RU000A101H43;0;20200303;144254;100.100000000;31
RU000A101H43;0;20200303;144349;100.100000000;11
RU000A101H43;0;20200303;144353;100.100000000;13
RU000A101H43;0;20200303;144353;100.100000000;400
RU000A101H43;0;20200303;144448;100.160000000;30
RU000A101H43;0;20200303;144508;100.150000000;75
RU000A101H43;0;20200303;144511;100.100000000;142
RU000A101H43;0;20200303;144511;100.100000000;50
RU000A101H43;0;20200303;144511;100.100000000;1
RU000A101H43;0;20200303;144732;100.140000000;7
RU000A101H43;0;20200303;144732;100.150000000;73
RU000A101H43;0;20200303;144825;100.150000000;80
RU000A101H43;0;20200303;144843;100.150000000;2
RU000A101H43;0;20200303;144849;100.150000000;70
RU000A101H43;0;20200303;144921;100.160000000;10
RU000A101H43;0;20200303;145017;100.190000000;30
RU000A101H43;0;20200303;145045;100.200000000;1500
RU000A101H43;0;20200303;145107;100.200000000;3500
RU000A101H43;0;20200303;145107;100.200000000;3000
RU000A101H43;0;20200303;145126;100.200000000;2
RU000A101H43;0;20200303;145127;100.200000000;100
RU000A101H43;0;20200303;145131;100.200000000;3
RU000A101H43;0;20200303;145141;100.200000000;300
RU000A101H43;0;20200303;145145;100.200000000;100
RU000A101H43;0;20200303;145159;100.200000000;500
RU000A101H43;0;20200303;145206;100.200000000;333
RU000A101H43;0;20200303;145206;100.200000000;5
RU000A101H43;0;20200303;145212;100.200000000;150
RU000A101H43;0;20200303;145214;100.200000000;134
RU000A101H43;0;20200303;145215;100.200000000;70
RU000A101H43;0;20200303;145222;100.200000000;1
RU000A101H43;0;20200303;145305;100.200000000;100
RU000A101H43;0;20200303;145359;100.200000000;100
RU000A101H43;0;20200303;145408;100.200000000;3
RU000A101H43;0;20200303;145411;100.200000000;10
RU000A101H43;0;20200303;145422;100.200000000;20
RU000A101H43;0;20200303;145424;100.200000000;12
RU000A101H43;0;20200303;145432;100.200000000;30
RU000A101H43;0;20200303;145437;100.200000000;1000
RU000A101H43;0;20200303;145447;100.200000000;10
RU000A101H43;0;20200303;145451;100.200000000;7
RU000A101H43;0;20200303;145506;100.200000000;2
RU000A101H43;0;20200303;145525;100.200000000;1
RU000A101H43;0;20200303;145614;100.200000000;5
RU000A101H43;0;20200303;145720;100.190000000;5
RU000A101H43;0;20200303;145722;100.190000000;3
RU000A101H43;0;20200303;145729;100.180000000;10
RU000A101H43;0;20200303;145729;100.180000000;40
RU000A101H43;0;20200303;145733;100.160000000;10
RU000A101H43;0;20200303;145834;100.190000000;7
RU000A101H43;0;20200303;145944;100.180000000;7
RU000A101H43;0;20200303;150052;100.180000000;2
RU000A101H43;0;20200303;150134;100.180000000;3
RU000A101H43;0;20200303;150143;100.180000000;28
RU000A101H43;0;20200303;150143;100.190000000;272
RU000A101H43;0;20200303;150302;100.160000000;1
RU000A101H43;0;20200303;150302;100.160000000;100
RU000A101H43;0;20200303;150310;100.100000000;100
RU000A101H43;0;20200303;150310;100.100000000;1
RU000A101H43;0;20200303;150310;100.100000000;10
RU000A101H43;0;20200303;150310;100.100000000;222
RU000A101H43;0;20200303;150319;100.180000000;9
RU000A101H43;0;20200303;150319;100.090000000;8
RU000A101H43;0;20200303;150319;100.090000000;40
RU000A101H43;0;20200303;150328;100.080000000;5
RU000A101H43;0;20200303;150328;100.080000000;1
RU000A101H43;0;20200303;150336;100.070000000;5
RU000A101H43;0;20200303;150336;100.070000000;30
RU000A101H43;0;20200303;150336;100.070000000;1
RU000A101H43;0;20200303;150336;100.070000000;5
RU000A101H43;0;20200303;150350;100.180000000;1
RU000A101H43;0;20200303;150416;100.180000000;90
RU000A101H43;0;20200303;150443;100.190000000;20
RU000A101H43;0;20200303;150447;100.190000000;2000
RU000A101H43;0;20200303;150512;100.190000000;160
RU000A101H43;0;20200303;150616;100.190000000;1
RU000A101H43;0;20200303;150706;100.110000000;93
RU000A101H43;0;20200303;150724;100.150000000;2
RU000A101H43;0;20200303;150724;100.100000000;76
RU000A101H43;0;20200303;150732;100.190000000;2
RU000A101H43;0;20200303;150815;100.190000000;60
RU000A101H43;0;20200303;150855;100.190000000;2
RU000A101H43;0;20200303;150949;100.190000000;3
RU000A101H43;0;20200303;151000;100.190000000;4
RU000A101H43;0;20200303;151038;100.190000000;8
RU000A101H43;0;20200303;151039;100.190000000;30
RU000A101H43;0;20200303;151110;100.190000000;20
RU000A101H43;0;20200303;151128;100.190000000;140
RU000A101H43;0;20200303;151250;100.180000000;42
RU000A101H43;0;20200303;151259;100.150000000;1
RU000A101H43;0;20200303;151259;100.120000000;10
RU000A101H43;0;20200303;151259;100.120000000;9
RU000A101H43;0;20200303;151456;100.180000000;5
RU000A101H43;0;20200303;151503;100.180000000;1
RU000A101H43;0;20200303;151514;100.180000000;5
RU000A101H43;0;20200303;151519;100.180000000;9
RU000A101H43;0;20200303;151550;100.180000000;10
RU000A101H43;0;20200303;151601;100.180000000;27
RU000A101H43;0;20200303;151601;100.190000000;13
RU000A101H43;0;20200303;151802;100.180000000;10
RU000A101H43;0;20200303;151821;100.150000000;1
RU000A101H43;0;20200303;151821;100.150000000;2
RU000A101H43;0;20200303;151905;100.180000000;1
RU000A101H43;0;20200303;152008;100.180000000;11
RU000A101H43;0;20200303;152118;100.180000000;1
RU000A101H43;0;20200303;152223;100.180000000;4
RU000A101H43;0;20200303;152345;100.180000000;13
RU000A101H43;0;20200303;152345;100.180000000;41
RU000A101H43;0;20200303;152451;100.180000000;20
RU000A101H43;0;20200303;152452;100.180000000;2
RU000A101H43;0;20200303;152453;100.180000000;31
RU000A101H43;0;20200303;152617;100.170000000;4
RU000A101H43;0;20200303;152628;100.180000000;2
RU000A101H43;0;20200303;152642;100.180000000;25
RU000A101H43;0;20200303;152657;100.180000000;20
RU000A101H43;0;20200303;152709;100.190000000;15
RU000A101H43;0;20200303;152710;100.190000000;4
RU000A101H43;0;20200303;152746;100.180000000;19
RU000A101H43;0;20200303;152807;100.190000000;2
RU000A101H43;0;20200303;152901;100.190000000;20
RU000A101H43;0;20200303;152927;100.190000000;1
RU000A101H43;0;20200303;152937;100.190000000;3
RU000A101H43;0;20200303;153008;100.190000000;100
RU000A101H43;0;20200303;153116;100.190000000;20
RU000A101H43;0;20200303;153118;100.190000000;3
